SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
3-Point1,1-Compress,0.000,16.599,0.002,0.749
3-Point1,1-Compress,0.200,16.516,0.085,2.446
3-Point1,1-Compress,0.400,16.432,0.169,3.294
3-Point1,1-Compress,0.600,16.349,0.252,4.991
3-Point1,1-Compress,0.800,16.266,0.335,6.052
3-Point1,1-Compress,1.000,16.182,0.419,7.113
3-Point1,1-Compress,1.200,16.099,0.502,8.598
3-Point1,1-Compress,1.400,16.016,0.585,10.295
3-Point1,1-Compress,1.600,15.932,0.669,11.992
3-Point1,1-Compress,1.800,15.849,0.752,14.537
3-Point1,1-Compress,2.000,15.766,0.835,16.022
3-Point1,1-Compress,2.200,15.682,0.919,17.083
3-Point1,1-Compress,2.400,15.599,1.002,20.477
3-Point1,1-Compress,2.600,15.516,1.085,22.599
3-Point1,1-Compress,2.800,15.432,1.169,24.508
3-Point1,1-Compress,3.000,15.349,1.252,26.841
3-Point1,1-Compress,3.200,15.265,1.336,28.963
3-Point1,1-Compress,3.400,15.182,1.419,31.084
3-Point1,1-Compress,3.600,15.098,1.503,33.629
3-Point1,1-Compress,3.800,15.015,1.586,35.751
3-Point1,1-Compress,4.000,14.932,1.669,37.660
3-Point1,1-Compress,4.200,14.848,1.753,40.630
3-Point1,1-Compress,4.400,14.765,1.836,42.751
3-Point1,1-Compress,4.600,14.681,1.92,44.024
3-Point1,1-Compress,4.800,14.598,2.003,47.206
3-Point1,1-Compress,5.000,14.515,2.086,49.327
3-Point1,1-Compress,5.200,14.431,2.17,51.449
3-Point1,1-Compress,5.400,14.348,2.253,53.994
3-Point1,1-Compress,5.600,14.264,2.337,55.691
3-Point1,1-Compress,5.800,14.181,2.42,57.601
3-Point1,1-Compress,6.000,14.098,2.503,59.722
3-Point1,1-Compress,6.200,14.014,2.587,60.995
3-Point1,1-Compress,6.400,13.931,2.67,62.480
3-Point1,1-Compress,6.600,13.848,2.753,64.177
3-Point1,1-Compress,6.800,13.764,2.837,65.237
3-Point1,1-Compress,7.000,13.681,2.92,66.722
3-Point1,1-Compress,7.200,13.598,3.003,68.632
3-Point1,1-Compress,7.400,13.514,3.087,69.692
3-Point1,1-Compress,7.600,13.431,3.17,70.329
3-Point1,1-Compress,7.800,13.348,3.253,71.177
3-Point1,1-Compress,8.000,13.264,3.337,72.026
3-Point1,1-Compress,8.200,13.181,3.42,73.086
3-Point1,1-Compress,8.400,13.097,3.504,74.147
3-Point1,1-Compress,8.600,13.014,3.587,74.571
3-Point1,1-Compress,8.800,12.93,3.671,75.208
3-Point1,1-Compress,9.000,12.847,3.754,76.056
3-Point1,1-Compress,9.200,12.763,3.838,76.480
3-Point1,1-Compress,9.400,12.68,3.921,77.117
3-Point1,1-Compress,9.600,12.597,4.004,78.177
3-Point1,1-Compress,9.800,12.513,4.088,78.602
3-Point1,1-Compress,10.000,12.43,4.171,79.450
3-Point1,1-Compress,10.200,12.347,4.254,80.511
3-Point1,1-Compress,10.400,12.263,4.338,81.147
3-Point1,1-Compress,10.600,12.18,4.421,81.996
3-Point1,1-Compress,10.800,12.097,4.504,83.057
3-Point1,1-Compress,11.000,12.013,4.588,83.693
3-Point1,1-Compress,11.200,11.93,4.671,84.329
3-Point1,1-Compress,11.400,11.847,4.754,85.178
3-Point1,1-Compress,11.600,11.763,4.838,85.814
3-Point1,1-Compress,11.800,11.68,4.921,86.451
3-Point1,1-Compress,12.000,11.597,5.004,87.087
3-Point1,1-Compress,12.200,11.513,5.088,87.299
3-Point1,1-Compress,12.400,11.43,5.171,88.148
3-Point1,1-Compress,12.600,11.346,5.255,88.572
3-Point1,1-Compress,12.800,11.263,5.338,-0.100
3-Point1,1-Compress,13.000,11.179,5.422,0.112
3-Point1,1-Compress,13.200,11.096,5.505,0.112
3-Point1,1-Compress,13.400,11.012,5.589,-0.100
3-Point1,1-Compress,13.600,10.929,5.672,0.112
3-Point1,1-Compress,13.800,10.845,5.756,0.112
3-Point1,1-Compress,14.000,10.762,5.839,-0.100
3-Point1,1-Compress,14.200,10.679,5.922,0.112
3-Point1,1-Compress,14.400,10.595,6.006,0.112
3-Point1,1-Compress,14.600,10.512,6.089,-0.100
3-Point1,1-Compress,14.800,10.429,6.172,0.112
3-Point1,1-Compress,15.000,10.345,6.256,0.112
3-Point1,1-Compress,15.200,10.262,6.339,-0.100
3-Point1,1-Compress,15.400,10.179,6.422,0.112
3-Point1,1-Compress,15.600,10.095,6.506,0.112
3-Point1,1-Compress,15.800,10.012,6.589,-0.100
3-Point1,1-Compress,16.000,9.929,6.672,0.112
3-Point1,1-Compress,16.200,9.845,6.756,0.112
3-Point1,1-Compress,16.400,9.762,6.839,-0.100
3-Point1,1-Compress,16.600,9.679,6.922,0.112
3-Point1,1-Compress,16.800,9.595,7.006,0.112
3-Point1,1-Compress,17.000,9.512,7.089,-0.100
3-Point1,1-Compress,17.200,9.428,7.173,0.112
3-Point1,1-Compress,17.400,9.345,7.256,0.112
3-Point1,1-Compress,17.600,9.261,7.34,-0.100
3-Point1,1-Compress,17.800,9.178,7.423,0.112
3-Point1,1-Compress,18.000,9.094,7.507,0.112
3-Point1,1-Compress,18.200,9.011,7.59,-0.100
3-Point1,1-Compress,18.400,8.928,7.673,0.112
3-Point1,1-Compress,18.600,8.844,7.757,0.112
3-Point1,1-Compress,18.800,8.761,7.84,-0.100
3-Point1,1-Compress,19.000,8.678,7.923,0.112
3-Point1,1-Compress,19.200,8.594,8.007,-0.100
3-Point1,1-Compress,19.400,8.511,8.09,-0.100
3-Point1,1-Compress,19.600,8.428,8.173,0.112
3-Point1,1-Compress,19.800,8.344,8.257,-0.100
3-Point1,1-Compress,20.000,8.261,8.34,-0.100
3-Point1,1-Compress,20.200,8.177,8.424,0.112
3-Point1,1-Compress,20.400,8.094,8.507,-0.100
3-Point1,1-Compress,20.600,8.011,8.59,-0.100
3-Point1,1-Compress,20.800,7.927,8.674,0.112
3-Point1,1-Compress,21.000,7.844,8.757,-0.100
3-Point1,1-Compress,21.200,7.761,8.84,-0.100
3-Point1,1-Compress,21.400,7.677,8.924,0.112
3-Point1,1-Compress,21.600,7.594,9.007,-0.100
3-Point1,1-Compress,21.800,7.51,9.091,-0.100
3-Point1,1-Compress,22.000,7.427,9.174,0.112
3-Point1,1-Compress,22.200,7.343,9.258,-0.100
3-Point1,1-Compress,22.400,7.26,9.341,-0.100
3-Point1,1-Compress,22.600,7.177,9.424,0.112
3-Point1,1-Compress,22.800,7.093,9.508,-0.100
3-Point1,1-Compress,23.000,7.01,9.591,-0.100
3-Point1,1-Compress,23.200,6.926,9.675,0.112
3-Point1,1-Compress,23.400,6.843,9.758,-0.100
3-Point1,1-Compress,23.600,6.76,9.841,-0.100
3-Point1,1-Compress,23.800,6.676,9.925,0.112
3-Point1,1-Compress,24.000,6.593,10.008,-0.100
