Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2
0,0,0,,0,0,0,
0.2,0,0,0,0.2,0,0,0
0.4,0,0,0,0.4,0,0,0
0.6,0,0,0,0.6,0,0,0
0.8,0,0,0,0.8,0,0,0
1,0,0,-0.19,1,0,0,0
1.2,0,0,-1.3,1.2,0,0,0
1.4,-3.81E-06,-6,-3.33,1.4,0,0,0
1.6,-2.22E-05,-143,-5.08,1.6,0,0,0
1.8,-4.45E-05,-309,-4.89,1.8,0,0,0
2,-6.10E-05,-501,-2.95,2,0,0,0
2.2,-6.29E-05,-526,-1.02,2.2,0,0,0
2.4,-6.29E-05,-523,2.86,2.4,0,0,0
2.6,-6.29E-05,-518,12.45,2.6,0,0,0
2.8,-3.81E-06,-216,27.69,2.8,0,0,0
3,1.27E-04,65,41.62,3,0,0,0
3.2,3.01E-04,66,47.24,3.2,0,0,0
3.4,4.65E-04,65,46.01,3.4,0,0,0
3.6,6.03E-04,65,39.18,3.6,0,0,0
3.8,7.45E-04,65,29.08,3.8,0,0,0
4,8.05E-04,65,18.61,4,0,0,0
4.2,8.45E-04,65,17.34,4.2,0,0,0
4.4,8.75E-04,65,31.05,4.4,0,0,0
4.6,0.00102,65,46.2,4.6,0,0,0
4.8,0.00125,66,51.72,4.8,0,0,0
5,0.00139,66,46.13,5,0,0,0
5.2,0.00154,65,40.01,5.2,0,0,0
5.4,0.00166,66,38.29,5.4,0,0,0
5.6,0.00179,65,38.67,5.6,0,0,0
5.8,0.00191,65,40.26,5.8,0,0,0.29
6,0.00206,65,40.01,6,0,1,1.52
6.2,0.00219,65,41.02,6.2,5.72E-06,31,3.71
6.4,0.0023,65,47.18,6.4,2.48E-05,158,5.71
6.6,0.00248,65,59.69,6.6,4.95E-05,339,6.54
6.8,0.00271,65,68.74,6.8,7.05E-05,539,6.45
7,0.00298,65,68.9,7,9.08E-05,737,6.03
7.2,0.00318,65,63.15,7.2,1.12E-04,963,5.72
7.4,0.00339,65,57.02,7.4,1.28E-04,1135,5.14
7.6,0.00356,65,52.04,7.6,1.47E-04,1336,4.64
7.8,0.00374,66,46.61,7.8,1.59E-04,1472,4.16
8,0.00387,66,40.83,8,1.75E-04,1655,3.17
8.2,0.00401,65,34.86,8.2,1.84E-04,1779,1.87
8.4,0.00411,65,33.34,8.4,1.85E-04,1799,0.6
8.6,0.0042,65,38.51,8.6,1.85E-04,1795,0.03
8.8,0.00435,65,46.67,8.8,1.85E-04,1791,-0.06
9,0.00454,65,45.75,9,1.85E-04,1788,-0.06
9.2,0.0047,65,34.8,9.2,1.85E-04,1785,-0.03
9.4,0.00476,65,23.94,9.4,1.85E-04,1784,0
9.6,0.00482,65,17.75,9.6,1.85E-04,1783,0
9.8,0.0049,65,12.99,9.8,1.85E-04,1782,0
10,0.00492,65,7.46,10,1.85E-04,1781,0
10.2,0.00492,65,10.6,10.2,1.85E-04,1781,0
10.4,0.00495,65,23.91,10.4,1.85E-04,1780,0
10.6,0.00509,65,37.15,10.6,1.85E-04,1779,0
10.8,0.00524,65,32.32,10.8,1.85E-04,1778,0
11,0.00538,65,8.92,11,1.85E-04,1778,0
11.2,0.0053,65,-11.53,11.2,1.85E-04,1778,0
11.4,0.0052,65,-15.49,11.4,1.85E-04,1777,-0.03
11.6,0.00519,65,-6.67,11.6,1.85E-04,1776,-0.06
11.8,0.00519,65,-0.86,11.8,1.84E-04,1771,-0.13
12,0.00518,65,1.56,12,1.84E-04,1763,-0.19
12.2,0.00518,65,3.68,12.2,1.83E-04,1751,-0.22
12.4,0.00522,65,0.41,12.4,1.82E-04,1739,-0.22
