"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3"
0.000,0.00000,0,,0.000,0.00000,0,,0.000,0.00000,0,
0.200,0.00000,0,0.00,0.200,0.00000,0,0.00,0.200,-1.33350E-5,-61,-4.48
0.400,0.00000,0,0.03,0.400,0.00000,0,0.00,0.400,-2.98450E-5,-235,-7.37
0.600,0.00000,0,1.97,0.600,0.00000,0,0.00,0.600,-6.60400E-5,-522,-10.16
0.800,6.35000E-7,0,8.86,0.800,0.00000,0,0.00,0.800,-9.46150E-5,-801,-12.89
1.000,3.87350E-5,0,18.38,1.000,0.00000,0,0.00,1.000,-1.51765E-4,-1312,-15.53
1.200,1.38430E-4,0,23.78,1.200,0.00000,0,0.00,1.200,-2.01930E-4,-1654,-14.89
1.400,2.29870E-4,0,23.59,1.400,0.00000,0,0.00,1.400,-2.69240E-4,-1943,-9.81
1.600,2.85115E-4,0,21.84,1.600,0.00000,0,0.00,1.600,-2.74955E-4,-1898,-3.94
1.800,3.63855E-4,0,21.18,1.800,0.00000,0,-0.95,1.800,-2.74955E-4,-1884,-0.29
2.000,4.41325E-4,0,18.95,2.000,0.00000,0,-1.90,2.000,-2.74955E-4,-1879,0.00
2.200,4.97205E-4,0,12.95,2.200,-1.90500E-5,-94,-2.25,2.200,-2.74955E-4,-1875,-1.59
2.400,5.30860E-4,0,9.11,2.400,-1.90500E-5,-133,-2.06,2.400,-2.74955E-4,-1873,-6.64
2.600,5.33400E-4,0,9.46,2.600,-2.60350E-5,-182,-1.87,2.600,-3.06705E-4,-1983,-12.95
2.800,5.87375E-4,0,9.08,2.800,-3.42900E-5,-242,-2.03,2.800,-3.75920E-4,-1983,-18.10
3.000,6.29920E-4,0,-4.51,3.000,-4.12750E-5,-278,-1.59,3.000,-4.33070E-4,-2026,-19.68
3.200,6.15950E-4,0,-31.40,3.200,-4.44500E-5,-305,-0.98,3.200,-5.10540E-4,-2086,-20.35
3.400,4.14655E-4,0,-53.85,3.400,-4.76250E-5,-340,-0.48,3.400,-5.65785E-4,-2104,-22.32
3.600,1.74625E-4,0,-59.21,3.600,-4.76250E-5,-339,-0.16,3.600,-6.50240E-4,-2185,-22.57
3.800,-5.71500E-6,0,-53.28,3.800,-4.76250E-5,-339,0.00,3.800,-7.39775E-4,-2237,-18.19
4.000,-1.47955E-4,0,-51.66,4.000,-4.76250E-5,-338,0.00,4.000,-7.88035E-4,-2274,-9.68
4.200,-3.28295E-4,0,-59.31,4.200,-4.76250E-5,-338,0.00,4.200,-7.91845E-4,-2219,-4.45
4.400,-5.35940E-4,0,-67.75,4.400,-4.76250E-5,-338,-0.63,4.400,-7.91845E-4,-2191,-6.86
4.600,-8.03910E-4,0,-71.02,4.600,-4.76250E-5,-338,-1.68,4.600,-8.24865E-4,-2326,-11.05
4.800,-0.00103,0,-68.87,4.800,-6.03250E-5,-431,-2.35,4.800,-8.92175E-4,-2365,-10.48
5.000,-0.00126,-1,-62.71,5.000,-6.85800E-5,-485,-2.19,5.000,-9.12495E-4,-2299,-12.80
