"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2"
0.000,0.00000,0,,0.000,0.00000,0,
0.200,0.00000,0,0.00,0.200,0.00000,1,0.00
0.400,0.00000,-1,0.00,0.400,0.00000,1,0.00
0.600,0.00000,0,0.44,0.600,0.00000,1,0.03
0.800,0.00000,0,2.76,0.800,0.00000,2,0.06
1.000,8.89000E-6,28,6.13,1.000,6.35000E-7,2,0.06
1.200,4.63550E-5,265,8.22,1.200,6.35000E-7,2,0.03
1.400,7.62000E-5,524,7.65,1.400,6.35000E-7,2,0.00
1.600,9.71550E-5,765,4.98,1.600,6.35000E-7,2,0.03
1.800,1.11125E-4,871,2.44,1.800,6.35000E-7,2,3.08
2.000,1.11125E-4,919,0.70,2.000,1.27000E-6,3,9.72
2.200,1.11125E-4,917,0.00,2.200,6.15950E-5,455,16.80
2.400,1.11125E-4,916,0.00,2.400,1.33985E-4,1114,17.46
2.600,1.11125E-4,916,0.00,2.600,2.03835E-4,1158,11.05
2.800,1.11125E-4,915,0.00,2.800,2.08280E-4,1121,3.94
3.000,1.11125E-4,914,0.00,3.000,2.08280E-4,1106,0.22
3.200,1.11125E-4,914,0.00,3.200,2.08280E-4,1099,0.00
3.400,1.11125E-4,914,0.32,3.400,2.08280E-4,1096,0.00
3.600,1.11125E-4,915,0.67,3.600,2.08280E-4,1093,0.00
3.800,1.17475E-4,976,0.83,3.800,2.08280E-4,1090,0.00
4.000,1.18110E-4,981,0.83,4.000,2.08280E-4,1088,0.00
4.200,1.20650E-4,1006,0.67,4.200,2.08280E-4,1087,0.00
4.400,1.24460E-4,1040,0.48,4.400,2.08280E-4,1085,2.70
4.600,1.24460E-4,1039,0.13,4.600,2.08280E-4,1085,8.64
4.800,1.23825E-4,1038,-0.06,4.800,2.62255E-4,1205,13.37
