SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
3-Point1,1-Compress,0.000,46.56,-0,0.632
3-Point1,1-Compress,0.200,46.486,0.074,4.974
3-Point1,1-Compress,0.400,46.402,0.158,10.068
3-Point1,1-Compress,0.600,46.319,0.241,15.579
3-Point1,1-Compress,0.800,46.235,0.325,22.844
3-Point1,1-Compress,1.000,46.152,0.408,30.359
3-Point1,1-Compress,1.200,46.068,0.492,38.292
3-Point1,1-Compress,1.400,45.985,0.575,46.642
3-Point1,1-Compress,1.600,45.901,0.659,54.826
3-Point1,1-Compress,1.800,45.818,0.742,63.343
3-Point1,1-Compress,2.000,45.734,0.826,71.610
3-Point1,1-Compress,2.200,45.651,0.909,79.960
3-Point1,1-Compress,2.400,45.568,0.992,88.143
3-Point1,1-Compress,2.600,45.484,1.076,95.993
3-Point1,1-Compress,2.800,45.401,1.159,103.675
3-Point1,1-Compress,3.000,45.317,1.243,111.023
3-Point1,1-Compress,3.200,45.234,1.326,118.121
3-Point1,1-Compress,3.400,45.15,1.41,124.718
3-Point1,1-Compress,3.600,45.067,1.493,131.231
3-Point1,1-Compress,3.800,44.983,1.577,137.327
3-Point1,1-Compress,4.000,44.9,1.66,143.339
3-Point1,1-Compress,4.200,44.816,1.744,148.934
3-Point1,1-Compress,4.400,44.733,1.827,154.278
3-Point1,1-Compress,4.600,44.649,1.911,159.205
3-Point1,1-Compress,4.800,44.566,1.994,164.048
3-Point1,1-Compress,5.000,44.482,2.078,168.139
3-Point1,1-Compress,5.200,44.399,2.161,171.814
3-Point1,1-Compress,5.400,44.315,2.245,175.321
3-Point1,1-Compress,5.600,44.232,2.328,178.577
3-Point1,1-Compress,5.800,44.148,2.412,181.333
3-Point1,1-Compress,6.000,44.065,2.495,183.754
3-Point1,1-Compress,6.200,43.982,2.578,186.009
3-Point1,1-Compress,6.400,43.898,2.662,188.013
3-Point1,1-Compress,6.600,43.815,2.745,189.433
3-Point1,1-Compress,6.800,43.731,2.829,190.769
3-Point1,1-Compress,7.000,43.648,2.912,192.021
3-Point1,1-Compress,7.200,43.564,2.996,192.439
3-Point1,1-Compress,7.400,43.481,3.079,193.023
3-Point1,1-Compress,7.600,43.397,3.163,193.691
3-Point1,1-Compress,7.800,43.314,3.246,193.858
3-Point1,1-Compress,8.000,43.23,3.33,193.942
3-Point1,1-Compress,8.200,43.147,3.413,193.858
3-Point1,1-Compress,8.400,43.063,3.497,193.441
3-Point1,1-Compress,8.600,42.98,3.58,193.023
3-Point1,1-Compress,8.800,42.896,3.664,192.272
3-Point1,1-Compress,9.000,42.813,3.747,191.687
3-Point1,1-Compress,9.200,42.729,3.831,190.769
3-Point1,1-Compress,9.400,42.646,3.914,189.433
3-Point1,1-Compress,9.600,42.562,3.998,188.681
3-Point1,1-Compress,9.800,42.479,4.081,187.011
3-Point1,1-Compress,10.000,42.396,4.164,185.675
3-Point1,1-Compress,10.200,42.312,4.248,184.172
3-Point1,1-Compress,10.400,42.229,4.331,182.669
3-Point1,1-Compress,10.600,42.145,4.415,180.999
3-Point1,1-Compress,10.800,42.062,4.498,179.746
3-Point1,1-Compress,11.000,41.978,4.582,0.131
3-Point1,1-Compress,11.200,41.895,4.665,0.048
3-Point1,1-Compress,11.400,41.811,4.749,0.131
3-Point1,1-Compress,11.600,41.728,4.832,0.048
3-Point1,1-Compress,11.800,41.644,4.916,0.048
3-Point1,1-Compress,12.000,41.561,4.999,0.131
3-Point1,1-Compress,12.200,41.477,5.083,0.048
3-Point1,1-Compress,12.400,41.394,5.166,0.048
3-Point1,1-Compress,12.600,41.31,5.25,0.298
3-Point1,1-Compress,12.800,41.227,5.333,0.048
3-Point1,1-Compress,13.000,41.143,5.417,0.131
3-Point1,1-Compress,13.200,41.06,5.5,0.131
3-Point1,1-Compress,13.400,40.976,5.584,0.048
